ticker,pitch_summary,why_it_could_win,expansion_or_leasing_evidence,customer_or_demand_evidence,power_capacity_notes,why_better_than_peers,main_red_flags,what_to_verify_next,pitch_verdict,evidence_quality,evidence_date,evidence_links
EQIX,"High-quality global data-center and interconnection REIT; best framed as a durable core infrastructure holding, not a cheap AI lottery ticket.","Scale, interconnection ecosystem, global customer diversity, and xScale hyperscale exposure give it a stronger business model than smaller operators.","The 10-K says no single customer accounted for a significant portion of revenue. That is good for risk: the story is broad demand, not one big tenant. Equinix has active data-center development in many markets. The clean pitch is scale, interconnection, and lower customer-concentration risk, not a single explosive AI lease.","Customer names for AI leases are not listed lease-by-lease. The xScale platform serves hyperscale companies, including large cloud providers, but individual AI customer leases should not be guessed.",Power access is a key risk and opportunity. The 10-K says AI is power-intensive and that Equinix needs enough power capacity to support expansion.,Better than speculative miners for downside protection and business quality; less explosive upside than APLD/IREN/WULF/CORZ.,"Premium valuation, higher capex, near-term AFFO dilution risk, and interest-rate sensitivity.","Latest AFFO/share growth, net debt/EBITDA, development yields, xScale leasing backlog, and customer concentration.",Core candidate for dad if he wants quality and lower operational risk.,High - SEC 10-K / company IR,2026-07-04,https://www.sec.gov/Archives/edgar/data/1101239/000110123926000032/eqix-20251231.htm;https://investor.equinix.com
DLR,Global data-center REIT with stronger hyperscale and large-campus AI exposure than many peers; more direct AI infrastructure angle than EQIX but less conservative.,"If hyperscaler demand remains capacity-constrained, Digital Realty can benefit from large leases, global campuses, and PlatformDIGITAL connectivity.","The 10-K says the portfolio was about 84.7% leased. It also says 769 MW of projects were underway worldwide and about 64% pre-leased. Digital Realty is one of the clearest large public ways to own global data-center real estate. Growth depends on leasing new MW, funding construction, power availability, and keeping leverage controlled.","The filing supports strong hyperscale and enterprise demand, but it does not give a simple public list of every AI tenant. Do not invent customer names.","The 10-K says land and space held for or under construction could support over 3,500 MW of additional data-center capacity, including more than 1,000 MW in Northern Virginia.",Better than EQIX for hyperscale AI capacity torque; better than miners for REIT structure and operating history.,"Leverage, rate sensitivity, customer concentration, development capex, and valuation after AI enthusiasm.","FFO/AFFO, debt maturities, leasing backlog, development yield, 2027 pre-leasing, top-10 customer share.","Strong stable AI/data-center REIT candidate, but verify valuation and balance sheet.",High - SEC 10-K,2026-07-04,https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/dlr-20251231x10k.htm;https://investor.digitalrealty.com
IRM,"Transformation pitch: old records-storage REIT plus fast-growing data-center segment; useful if dad wants a blend of income, stability, and AI/data-center upside.",Data-center growth can re-rate a legacy records business if leasing and AFFO keep compounding.,"The filing says about 97% of its existing 488 MW data-center capacity was leased. The pitch is a stable records-management base plus a growing data-center business. It is not as pure as EQIX/DLR, but the MW pipeline is meaningful.","The filing says the data-center team focuses on hyperscale customers, but it does not name a clean list of AI tenants in the extracted annual-report data.","The 10-K says Iron Mountain had total potential data-center capacity of about 1,340 MW in land and buildings currently owned or operated.",Better than pure REITs if the market keeps rewarding the transformation; safer than miners because legacy cash flow supports the pivot.,"Leverage, execution risk, valuation after a strong run, and risk that legacy storage growth slows.","AFFO guidance, data-center NOI mix, leasing backlog, development capex, debt/EBITDA, dividend coverage.","Interesting pitch: credible growth plus income, but not a pure-play data-center REIT.",High - SEC 10-K,2026-07-04,https://www.sec.gov/Archives/edgar/data/1020569/000102056926000013/irm-20251231.htm;https://investors.ironmountain.com
AMT,Mostly a tower REIT with a data-center option through CoreSite; pitch is conservative communications infrastructure with smaller AI/data-center kicker.,Core tower cash flows plus CoreSite leasing can benefit from hybrid-cloud and AI workloads without depending entirely on data centers.,"AMT's 2025 10-K reports Data Centers segment revenue of about $1.053 billion and operating profit of about $562 million. It does not provide a simple public CoreSite tenant lease table. Best treated as a tower REIT with a data-center side business, not a pure AI data-center stock.","AMT's top company-wide customers are wireless carriers, not data-center AI tenants. CoreSite customer names should not be assumed unless CoreSite/AMT publicly names them.",The data-center business is meaningful but small compared with the tower business. Data-center capex was about $665 million in 2025.,Better than pure data-center names for diversification; worse if dad wants direct data-center real-estate exposure.,Data-center exposure is diluted; tower growth and rates may dominate stock performance.,"CoreSite segment growth, signed leasing, capex, data-center revenue share, tower organic growth, AFFO payout.","Good conservative infrastructure name, but not the cleanest data-center pitch.",High - SEC 10-K,2026-07-04,https://www.sec.gov/Archives/edgar/data/1053507/000105350726000035/amt-20251231.htm;https://www.coresite.com
NXT.AX,Australian pure-play data-center operator with strong AI/hyperscale expansion angle; potentially one of the cleaner non-US growth pitches.,"Australia/Asia-Pacific capacity demand, planned campuses, high-performance computing offering, and multiple facilities in planning/development can support long runway.","The 1H26 presentation shows 416.6 MW contracted utilization and 119.8 MW billing utilization, leaving a 297 MW forward order book expected to convert into future billings. The future depends on converting the forward order book into billings, finishing S3/M3/KL1 and later S4/M4/S5, and funding growth without too much dilution or debt risk.",NEXTDC says AI deployments are growing and reports a first hyperscale customer contracted for KL1. It does not name that customer in the extracted presentation.,"The FY25 presentation says M3 planned power capacity was upgraded by 50 MW to 200 MW, M4 by 70 MW to 150 MW, and S5 by 20 MW to 80 MW. 1H26 says S4 is now about 350 MW and M4 about 150 MW.",Better than US REITs for regional growth torque; less mature and potentially more valuation-sensitive than EQIX/DLR.,"High capex, execution risk, funding risk, valuation, and customer concentration if large wholesale leases dominate.","Signed future sales, MW pipeline, funding plan, customer concentration, site power, and return on invested capital.","Strong growth candidate for a pitch, but requires latest ASX filings and investor presentation review.",High - annual report / results presentations,2026-07-04,https://www.nextdc.com/hubfs/ASX%20Announcements/Annual%20Report%20FY25.pdf;https://www.nextdc.com/hubfs/ASX%20Announcements/FY25%20Full%20Year%20Results%20Presentation.pdf;https://www.nextdc.com/hubfs/ASX%20Announcements/1H26%20Results%20Presentation.pdf
AJBU.SI,Income-style Singapore data-center REIT; pitch is yield and dedicated data-center exposure rather than explosive AI upside.,Dedicated data-center assets and REIT structure make it simpler than diversified conglomerates.,"The annual report says WALE was 6.7 years by lettable area and 4.9 years by rental income. Portfolio rental reversion for the year was about 45%. Good for income and purity, but dad should check DPU, leverage, occupancy, WALE, tenant concentration, and whether hyperscale growth improves distributions.",The annual report says client names cannot be matched because many lease and colocation arrangements are confidential. Do not state named customers unless another official source names them.,"The report discusses a hyperscale strategy and additional saleable power at Keppel DC Singapore 8, but it does not give a simple public MW table for every asset.",Better than indirect asset managers for purity; less growth torque than NEXTDC or speculative AI/HPC names.,"Tenant concentration, refinancing, FX, sponsor-related transactions, and rate sensitivity.","Occupancy, WALE, DPU trend, debt cost, lease expiries, top tenant concentration, and asset valuations.","Good income-style watchlist name; pitch depends on yield, balance sheet, and lease quality.",High - annual report,2026-07-04,https://www.keppeldcreit.com/en/file/investor-relations/publications/annual-report/kdcr-ar2025.pdf;https://www.keppeldcreit.com/en/
DCRU.SI,"Digital Realty-sponsored Singapore REIT with US data-center exposure; pitch is recovery/yield plus sponsor linkage, not broad diversification.","If refinancing, lease renewals, and sponsor support stabilize, it may offer targeted data-center REIT exposure.","The annual report says WALE was 4.6 years by annualized rent. It executed about US$26 million of new and renewal leases, equal to roughly 25% of total annualized rent. About 9% of rent expires in 2026 and another 8% in 2027. Key things to watch: re-leasing 8217 Linton Hall, occupancy, rent reversions, sponsor pipeline, and debt costs.","The Osaka asset is described as 100% leased to investment-grade customers, mainly leading global cloud providers. The report does not name those customers.",The Osaka data center offers 19.9 MW of critical IT load. Digital Realty's Northern Virginia campus is described as supported by a substation capable of up to 150 MW.,More direct than diversified REITs; potentially riskier than EQIX/DLR because of smaller scale and concentration.,"Tenant concentration, sponsor dependence, refinancing, rate sensitivity, and small-cap liquidity.","Latest annual report, tenant concentration, lease maturity schedule, debt terms, and DPU coverage.",Watchlist/income candidate; not a top pitch unless valuation and tenant risk look favorable.,High - annual report,2026-07-04,https://s28.q4cdn.com/669718746/files/doc_downloads/2026/03/Digital-Core-REIT-Annual-Report-2025.pdf;https://www.digitalcorereit.com/
NTDU.SI,"Digital infrastructure trust, but not a data-center owner/operator; useful as conservative connectivity exposure, not a data-center real-estate pitch.",Stable regulated-style fiber infrastructure can benefit indirectly from cloud/data traffic growth.,"No data-center leasing model applies. It is not a REIT leasing halls or MW to cloud or AI customers. Future depends on regulated returns, fiber connections, broadband demand, and Singapore telecom regulation, not AI data-center leasing.",Not applicable for a data-center tenant story.,Power/MW data-center capacity is not the driver. The driver is regulated fiber network usage in Singapore.,Better for conservative digital-infrastructure income; worse for direct AI/data-center upside.,Low data-center purity and limited upside from data-center leasing cycle.,"Regulated return framework, distribution sustainability, fiber demand, capex requirements.",Probably not the stock to pitch if the theme is physical data centers.,Medium - official site blocked automated extraction,2026-07-04,https://www.netlinknbn.com/investor-relations.html;https://www.netlinknbn.com/annual-reports.html
GDS,"China-focused data-center operator; direct exposure but higher risk due to leverage, competition, geopolitics, and China regulatory uncertainty.",Could win if China cloud/AI demand drives utilization and leasing while financing conditions improve.,"The filing says commitment rates for area in service were 93.0% at 31 Dec 2025 and utilization was 75.5%. Strong physical data-center exposure, but China regulatory risk, financing, utilization, and customer concentration must be checked.","The filing anonymizes large customers as Customer A, Customer B, and similar labels. Do not name customers unless another official source does.","The 20-F says 73,994 sqm was under construction and total self-developed capacity in service plus under construction was 738,684 sqm. It also says estimated developable resources were about 3.7 GW.",More direct than asset managers; riskier than US/Singapore REITs.,"China regulatory/geopolitical risk, leverage, customer concentration, ADR risk, and profitability pressure.","Utilization, backlog, debt maturities, capex, customer concentration, and China AI/cloud demand indicators.",High-risk direct operator; only pitch if dad accepts China-specific risk.,High - SEC 20-F,2026-07-04,https://www.sec.gov/Archives/edgar/data/1526125/000110465926051006/gds-20251231x20f.htm;https://investors.gds-services.com/
VNET,China carrier-neutral data-center and network platform; direct exposure but high risk and less clean than major global REITs.,Could benefit from China digital infrastructure and AI/cloud demand if balance sheet and demand improve.,"The filing says hosting and related services revenue grew to RMB9.949 billion in 2025 from RMB8.259 billion in 2024 and RMB7.413 billion in 2023. Growth depends on China cloud/AI demand, ability to obtain high-power sites and fiber, financing, utilization, and regulatory conditions.",The annual filing does not provide a simple named AI customer list for this dashboard. Treat customers as not fully disclosed.,"At 31 Dec 2025, VNET reported 889 MW of in-service wholesale IDC capacity and 49,863 retail IDC cabinets in service.",Potentially cheaper/direct China exposure; weaker than EQIX/DLR on predictability and governance confidence.,"China regulatory risk, leverage, competition, ADR risk, and execution uncertainty.","Utilization, debt profile, EBITDA trend, customer concentration, and recent leasing.",Speculative China data-center operator; not the first pitch for a cautious investor.,High - SEC 20-F,2026-07-04,https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm;https://ir.vnet.com/
ME8U.SI,Diversified Singapore industrial REIT with meaningful data-center exposure; pitch is income plus partial data-center upside.,Data-center assets can improve growth profile while industrial diversification lowers single-theme risk.,"Average overall portfolio occupancy was 91.3%. Singapore occupancy was 92.9%, Japan occupancy was 100.0%, and North American occupancy was 87.4%. Japan WALE was 13.7 years; North American WALE was 6.3 years. Important positives are data-center AUM weight and Japan stability. Risks are North American lease non-renewals and backfilling older enterprise data centers outside primary markets.",The report discusses tenant and leasing activity but does not give a simple named hyperscaler table for this dashboard.,"MIT is an industrial REIT with a large data-center segment, not a pure MW developer. Its AUM mix shows Data Centres at 57.3% of AUM.",Better than pure-play REITs for diversification; weaker if dad wants maximum data-center purity.,"Not pure-play, rates/refinancing, tenant concentration in data-center segment, and FX risk.","Data-center revenue share, top tenants, occupancy, WALE, debt cost, DPU trend.",Good conservative income-style candidate with data-center angle.,High - annual report microsite,2026-07-04,https://investor.mapletreeindustrialtrust.com/misc/ar2025-26/index.html
GMG.AX,Goodman is a high-quality industrial property developer/manager with growing data-center optionality; pitch is land/power/development platform rather than current pure data-center income.,"If power-enabled industrial land becomes scarce, Goodman may monetize data-center demand through development and partnerships.","Goodman does not provide a simple named tenant lease table for its data-center pipeline. The report says customers include hyperscalers and colocators needing power and fiber. This is a high-quality industrial property developer/manager with huge data-center power optionality, but not a pure data-center REIT.",Customer categories are public; individual data-center customers are not listed in a clean public table in the checked sources.,"The annual report says Goodman had a 5.0 GW global data-center power bank across 13 major cities, with 2.7 GW secured and 2.3 GW in advanced procurement. It also had 130 MW of fully fitted data-center projects underway.",Better than REITs for development optionality; less pure and harder to value as a data-center stock.,"Valuation, development timing, power approvals, and data-center exposure diluted by logistics business.","Data-center pipeline MW, pre-commitments, funding partners, cap rates, development margins.","Interesting indirect growth pitch, not a clean data-center REIT substitute.",High - annual report / company page,2026-07-04,https://www.goodman.com/investor-centre/annual-reports;https://www.goodman.com/our-properties/data-centres;https://www.goodman.com/-/media/project/goodman/global/files/investor-centre/gmg-goodman-group/announcements/asx-announcements/2025/2-goodman-2025-annual-report.pdf?rev=2b1b30b1aa85467f9cbc79a9b24f018c
AZRG.TA,Diversified Israeli real-estate group with data-center exposure through Green Mountain; pitch is specific but diluted by broader property portfolio.,Could benefit if Green Mountain and international data-center assets grow within the group.,"Azrieli's Q4 2025 presentation says Green Mountain Global had 257 MW contracted, 148 MW billed, and 109 MW billed-but-not-booked across 7 sites in 3 countries. This is one of the more specific indirect data-center stories: named customer, MW, and contracted MW. But the public ticker is still a diversified real-estate group.",The 2025 annual report names TikTok Norway AS as the customer for a Green Mountain Norway DC services agreement.,"The annual report says Green Mountain built a 90 MW campus in Norway for TikTok Norway AS and completed handover of the full 90 MW in 2024. It also says the customer exercised an option to increase capacity by another 30 MW to 120 MW, but that expansion was still under review.",More direct data-center exposure than many property groups; less transparent to US investors than EQIX/DLR.,"Israel/geography risk, conglomerate dilution, real-estate cycle, FX, and segment disclosure limits.","Segment contribution, Green Mountain pipeline, customer concentration, debt, and development capex.",Watchlist candidate; needs deeper source review before pitching.,High - annual report / presentation,2026-07-04,https://azrieligroup.com/wp-content/uploads/2026/03/2025-Report.pdf;https://azrieligroup.com/wp-content/uploads/2026/03/Azrieli_Q4-2025_presentation_Eng_Final_19032026_1.pdf;https://greenmountain.no
BN4.SI,Keppel Ltd. is an infrastructure/asset-management platform with data-center development exposure; pitch is indirect platform participation.,"Can develop, own, and manage data-center assets across funds/platforms, but public equity exposure is diluted.","Keppel's report does not give a public ticker-level tenant lease table. Data-center leases sit in projects, funds, and REIT/fund vehicles. The pitch is powerbanking plus asset-management fees and capital recycling. It is indirect data-center exposure, with broader infrastructure risks.",No simple named customer table is provided for Keppel Ltd shareholders in the annual report. Do not assume tenant names.,"The report says Keppel expanded its Asia-Pacific data-center powerbank to over 1.0 GW, including a prime site near Melbourne earmarked for a future 720 MW AI data-center campus.",Better than pure REITs for platform optionality; worse for simple look-through exposure.,"Conglomerate complexity, indirect exposure, project execution, and hard-to-measure data-center contribution.","Data-center AUM, owned stakes, development pipeline, fee earnings, and capital recycling.",Indirect watchlist name; likely not the simplest pitch for dad.,High - annual report,2026-07-04,https://www.keppel.com/file/investor-relations/annual-reports/ar2025/keppel-ltd-annual-report-2025.pdf;https://www.keppel.com/annualreport2025/
MAQ.AX,"Smaller Australian digital infrastructure/cloud/data-center company; pitch is sovereign cloud and data-center growth, but company-specific risk is higher.",Could win if Australian enterprise/government cloud and data-center demand grows and Macquarie executes capacity expansion.,"The FY25 presentation says 2 out of 3 major hyperscalers are customers. It also says IC3 Super West is on time and on budget. This is a specific Australia data-center buildout story. Watch IC3 Super West delivery, 150+ MW campus approvals, funding, and customer conversion.","The presentation names customer groups, including hyperscalers, enterprise, government, SaaS companies, and carriers. It does not name the hyperscalers in the extracted text.",The annual report says IC3 Super West Phase 1 will deliver 6 MW of IT load by September 2026 and the facility has 47 MW approved capacity. It also says a new Sydney campus is expected to deliver more than 150 MW of IT load.,More direct than Goodman/Azrieli; smaller and riskier than NEXTDC.,"Small-cap liquidity, customer concentration, capex funding, and execution risk.","Facility MW, occupancy, backlog, customer mix, debt, and free cash flow.",Interesting small-cap pitch only after latest ASX materials are reviewed.,High - annual report / investor presentations,2026-07-04,https://www.macquarietechnologygroup.com/wp-content/uploads/2025/10/2025-MAQ-Annual-Report.pdf;https://www.macquarietechnologygroup.com/wp-content/uploads/2025/08/FY25-Group-Investor-Presentation.pdf;https://www.macquarietechnologygroup.com/wp-content/uploads/2025/11/Nov-25-Investor-Day-Presentation.pdf
APLD,"High-risk AI/HPC data-center developer; pitch is contracted hyperscale demand and power-secured campus upside, not current stability.","Could win big if large leases convert into completed, financed, operational AI campuses at acceptable returns.","The 10-K says its Data Center Hosting segment served one crypto mining customer with about 2.5 years remaining and generated all FY2025 continuing revenue. For HPC, it entered two lease agreements for the first two Polaris Forge 1 buildings totaling 250 MW. Big upside if Polaris Forge 1 converts to cash flow; high risk because current revenue was still crypto-hosting heavy in FY2025 and capex is large.","The filing supports signed HPC leasing, but it does not name the two HPC lease customers in the extracted text.","It operated Jamestown, ND at 106 MW and Ellendale, ND at 180 MW, about 286 MW total hosting capacity. Polaris Forge 1 is planned as 100 MW, 150 MW, and 150 MW buildings.",More direct upside than REITs; higher risk than CORZ if funding/construction is less proven.,"Very high volatility, financing/dilution, construction delays, customer concentration, and valuation after a large run.","Signed lease details, commencement dates, funding plan, construction milestones, tenant credit, and capex per MW.",Speculative pitch candidate with real AI infrastructure angle; size carefully.,High - SEC 10-K,2026-07-04,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000021/apld-20250531.htm;https://ir.applieddigital.com/
IREN,Very high-risk AI cloud and power-secured infrastructure pivot from bitcoin mining; pitch depends on whether AI contracts replace crypto cyclicality.,Could win if secured power portfolio and GPU cloud contracts scale faster than dilution/debt risk.,"The annual report says IREN is expanding into AI Cloud and possible colocation services. A later IREN company release on 3 Nov 2025 says Microsoft signed a five-year GPU cloud services contract with about $9.7 billion total contract value, including a 20% prepayment. Very high upside because power-secured sites can move from bitcoin mining to AI/HPC. Very high risk because it needs huge GPU/capex funding and the stock may already price in a lot.","The FY2025 annual report does not name Microsoft. The later IREN company release names Microsoft. Treat Microsoft as confirmed by the company release, not by the annual report.","The 10-K says Horizon 1 at Childress is a direct-to-chip liquid-cooling deployment with up to 50 MW IT load, targeting energization by the end of calendar 2025. The IREN release says Microsoft GPUs are expected to deploy through 2026 at Childress with new liquid-cooled data centers supporting 200 MW of critical IT load across Horizon 1-4.",Potentially stronger AI customer validation than many miners; much riskier than REITs and exposed to funding/dilution.,"Crypto legacy, capex intensity, dilution, financing, technology obsolescence, and class-action/operational claims to verify.","Contract terms, gross margin, GPU financing, power availability, capex, dilution, and customer concentration.",High-upside but very speculative; only pitch as a small speculative sleeve.,High - SEC 10-K plus official company release,2026-07-04,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000063/iren-20250630.htm;https://www.globenewswire.com/news-release/2025/11/03/3178993/0/en/IREN-Secures-9-7bn-AI-Cloud-Contract-with-Microsoft.html
WULF,"Very high-risk bitcoin-miner-to-AI-data-center transition; pitch is Google/Fluidstack-backed demand at power-secured sites, not mining economics.",Could win if Fluidstack/Google-backed leases validate Lake Mariner and financing gets de-risked.,"The filing says Lake Mariner and Abernathy have contracted 522 MW of critical IT load with long-dated revenue visibility. This is a speculative AI/HPC power-secured name. It can score well on physical power pipeline but must be flagged high risk because execution, financing, and customer concentration matter.",The filing references credit-enhanced counterparties but the extracted text should not be used to claim a specific named end customer. Do not rely on XBRL labels alone for customer names.,"The filing says the Cayuga site could support up to 400 MW gross capacity, or about 320 MW contractual critical IT load, after permitting and development.",More validated AI leasing than crypto names without customers; much riskier than REITs and still financing-heavy.,"Losses, dilution, debt, related-party/short-seller allegations, execution delays, and AI capex slowdown.","Lease documents, debt terms, Google/Fluidstack obligations, site MW, construction schedule, and related-party disclosures.",Speculative pitch candidate only if dad understands project-finance and dilution risk.,High - SEC 10-K,2026-07-04,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000031/wulf-20251231.htm;https://investors.terawulf.com/
CORZ,High-risk but more concrete AI infrastructure pivot because CoreWeave contracted material HPC hosting capacity; stronger evidence than many crypto-transition peers.,"Could win if CoreWeave contracts and additional HPC conversion drive stable, long-term infrastructure revenue.","The filing says CoreWeave leases grew from a 16 MW Austin contract to 200 MW and then to about 590 MW of leased power capacity through options. This is one of the clearest crypto-to-HPC conversion stories, but it is still risky because 2025 revenue was mostly digital assets and the company has bankruptcy history.",CoreWeave is a named public customer in the 10-K.,The company says it intends to convert every MW in its portfolio to high-density colocation infrastructure over the next three years while continuing mining during conversion.,More contract-backed than many speculative miners; still far riskier than REITs and has bankruptcy history.,"Post-bankruptcy history, customer concentration, execution, capex, crypto exposure, and deal/merger uncertainty.","Current contract MW, revenue recognition, capex funding, balance sheet, customer concentration, and shareholder/merger status.","Best speculative AI/HPC pitch if focusing on confirmed customer evidence, but still high risk.",High - SEC 10-K,2026-07-04,https://www.sec.gov/Archives/edgar/data/1839341/000162828026013305/core-20251231.htm;https://investors.corescientific.com/
HUT,Very high-risk energy/data-center transition; pitch became more credible if recent AI lease reports are confirmed in filings.,Could win if large energy sites convert into long-term AI data-center leases while bitcoin exposure is reduced or separated.,"The filing does not show a simple AI lease table yet. It is more of a power and site-development story. Hut 8 also says it is advancing commercialization of 1,230 MW of utility capacity under development. Good power optionality, but very speculative until AI leases are clearer.",No named AI data-center tenant is confirmed in the extracted 10-K text for this dashboard row.,"The 10-K says Hut 8 had 1,020 MW of energy capacity under management across 15 sites. It is developing an AI data center at River Bend in Louisiana to commercialize 330 MW of utility capacity, targeted for initial delivery and commissioning in Q2 2027.",Potentially more direct contracted AI infrastructure than BTDR; still less proven and riskier than CORZ if filings are not clean.,"Crypto legacy, political/ownership noise, financing, construction, customer concentration, and very high volatility.","Signed lease agreements, counterparty credit, project financing, capex, MW in service, and residual bitcoin exposure.",Speculative only; do not pitch as a REIT substitute.,High - SEC 10-K,2026-07-04,https://www.sec.gov/Archives/edgar/data/1964789/000110465926019392/hut-20251231x10k.htm;https://hut8.com/investors/
BTDR,Crypto-mining infrastructure company with some AI/HPC optionality; weaker current pitch unless a confirmed AI customer or lease is found.,"Could win if mining data centers, power, and infrastructure are repurposed for AI/HPC or if mining economics remain favorable.","The filing warns that delays in converting mining datacenters to AI datacenters or building new datacenters could hurt the business. A large named AI customer lease was not confirmed in the extracted 20-F. This is a high-risk bitcoin-miner-to-AI-infrastructure transition. It needs capital, power, build execution, and real AI leases.",The annual filing does not give a clean named AI tenant list in the extracted text. Do not claim a named customer without a company release.,"The filing confirms the Norway/Tydal data-center acquisition and defines colocation, AI, GPU, HPC, and MW. The filing does not give a clean current AI MW lease table by site.","May be cheaper optionality than better-known AI pivots; weaker evidence than APLD, CORZ, WULF, HUT, or IREN.","Crypto cycle, hardware strategy, geographic risk, capex, no clearly confirmed large AI tenant in this file.","Latest filings, AI cloud status, customer contracts, site MW, mining margins, and balance sheet.",Watchlist only until better customer/lease evidence is confirmed.,Medium-high - SEC 20-F; named AI lease not confirmed in filing,2026-07-04,https://www.sec.gov/Archives/edgar/data/1899123/000121390026049770/ea0282628-20f_bitdeer.htm;https://ir.bitdeer.com/
DBRG,"Digital infrastructure asset manager; pitch is broad data-center/private-market exposure, not a direct operating REIT.",Could win if institutional capital keeps flowing into data centers and portfolio companies like DataBank/Yondr grow.,"Leasing happens at portfolio-company level, not directly at the public ticker level. Use DBRG as an asset-manager/data-infrastructure exposure, not as a direct landlord comparison to EQIX/DLR.",No simple DBRG-level data-center customer list applies.,"The filing says DBRG had $41.0 billion of fee-earning equity under management at 31 Dec 2025. It is indirect exposure, not a data-center REIT with public MW leasing.",Better than BX/KKR for digital-infrastructure focus; less direct than REIT/operators.,"Asset-manager complexity, fee/AUM sensitivity, leverage, valuation, and indirect look-through.","AUM mix, fee earnings, portfolio company performance, balance sheet, and carried interest exposure.",Good indirect thematic name; not the simplest stock pitch for a pure data-center discussion.,High - SEC 10-K,2026-07-04,https://www.sec.gov/Archives/edgar/data/1679688/000167968826000021/dbrg-20251231.htm;https://www.digitalbridge.com/
BX,"Very high-quality alternative asset manager with data-center exposure, but the data-center thesis is heavily diluted.",Could benefit from private data-center financing and real-estate/infrastructure funds if AI capex remains large.,"Data-center leases are held through funds and portfolio companies, not directly at BX shareholder level. BX is very indirect. It can benefit from the data-center boom, but the stock is driven by the whole alternative-asset-management business.",No ticker-level data-center tenant list applies.,"The filing discusses digital infrastructure risks, including data-center competition, AI technology changes, and local opposition.",Better for diversified asset-management exposure; worse for a direct data-center stock pitch.,"Too indirect, broad market exposure, fee-related sensitivity, and limited look-through for dad.","Data-center AUM, major portfolio platforms, fund economics, and valuation.",Probably not the pitch if the theme is physical data-center ownership.,High - SEC 10-K,2026-07-04,https://www.sec.gov/Archives/edgar/data/1393818/000119312526082531/d48618d10k.htm;https://www.blackstone.com/
BAM,Asset-light Brookfield manager; indirect infrastructure exposure including digital infrastructure but not a pure data-center stock.,Could win if Brookfield raises/deploys more infrastructure capital into data centers and power.,"Data-center leasing is inside funds/portfolio companies, not at BAM public-company level. BAM is an asset-light manager. It is a broad manager exposure to infrastructure, not a pure data-center stock.",No BAM-level data-center tenant list applies.,"The annual report confirms exposure to digital infrastructure and data centers, but not a public MW table for BAM shareholders.","Cleaner asset manager than BN, but less direct than DBRG for digital infrastructure.","Indirect exposure, fee-cycle sensitivity, valuation, and limited transparency for specific data-center assets.","Digital infrastructure AUM, fundraising, portfolio platforms, fee-related earnings.",Indirect watchlist only for this theme.,High - SEC 10-K,2026-07-04,https://www.sec.gov/Archives/edgar/data/1937926/000162828026013098/bam-20251231.htm;https://bam.brookfield.com/
BN,"Brookfield parent/holding company; broad real-assets exposure, but data-center signal is diluted by the whole Brookfield structure.","Could benefit indirectly from infrastructure, power, and data-center investing across Brookfield platforms.","Data-center leases are not direct BN-level disclosures. They sit in operating companies, funds, and investees. BN is broad and diluted. It may benefit from Brookfield's data-center and power themes, but it is not a focused data-center pitch.",No BN-level data-center tenant list applies.,"The filing includes infrastructure and network infrastructure categories, but not a clean public data-center MW table for BN.","Broader than BAM; potentially cheaper/complex, but not cleaner for dad.","Complex structure, conglomerate discount, broad macro exposure, and indirect data-center link.","Look-through ownership, carried interest, infrastructure assets, balance sheet, and valuation discount.",Not a first-choice data-center pitch; use only for broad Brookfield exposure.,Medium-high - SEC 40-F,2026-07-04,https://www.sec.gov/Archives/edgar/data/1001085/000100108526000006/bn-20251231.htm;https://bn.brookfield.com/
KKR,Large alternative asset manager with infrastructure/real-estate capability; data-center exposure exists but is too diluted for a simple pitch.,Could benefit if private capital continues financing AI/data-center buildouts.,"Any data-center leasing sits inside funds/portfolio companies, not at KKR public ticker level. KKR is useful only as indirect exposure. It should not be compared directly with pure operators like EQIX, DLR, NEXTDC, or Digital Core.",No KKR-level data-center tenant list applies.,"The filing supports infrastructure/real-assets exposure, but it does not provide a clean data-center MW or lease table.","High-quality manager, but less focused than DBRG and less direct than REITs.","Too broad, valuation tied to markets/fundraising, and data-center exposure hard to isolate.","Digital infrastructure AUM, fund investments, fee earnings, and valuation.","Good company, weak pure data-center pitch.",Medium-high - SEC 10-K,2026-07-04,https://www.sec.gov/Archives/edgar/data/1404912/000140491226000007/kkr-20251231.htm;https://www.kkr.com/
