ticker,company_name,exchange,country,category,company_type,risk_level,data_center_purity_score,notes,known_customers,ai_exposure_notes,risk_notes,source_links
EQIX,Equinix,Nasdaq,United States,Pure-play data center REIT/operator,Global colocation REIT/operator,Low,95,Large global interconnection and colocation platform.,"Customer names for AI leases are not listed lease-by-lease. The xScale platform serves hyperscale companies, including large cloud providers, but individual AI customer leases should not be guessed.",AI and cloud demand can drive high-density colocation and interconnection needs.,Premium valuation; power availability and capex intensity matter.,https://www.sec.gov/Archives/edgar/data/1101239/000110123926000032/eqix-20251231.htm;https://investor.equinix.com
DLR,Digital Realty,NYSE,United States,Pure-play data center REIT/operator,Global data center REIT/operator,Low,90,Global data center REIT with hyperscale and colocation exposure.,"The filing supports strong hyperscale and enterprise demand, but it does not give a simple public list of every AI tenant. Do not invent customer names.",AI demand supports high-power data-center campuses and connectivity.,Leverage; development capex; REIT valuation sensitivity to rates.,https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/dlr-20251231x10k.htm;https://investor.digitalrealty.com
IRM,Iron Mountain,NYSE,United States,Diversified real estate / infrastructure with data-center exposure,Records management plus data-center REIT,Medium,60,Records-storage business with growing global data-center segment.,"The filing says the data-center team focuses on hyperscale customers, but it does not name a clean list of AI tenants in the extracted annual-report data.",Data-center segment benefits from cloud and AI demand but is not the whole business.,Legacy records business; leverage; execution risk in data-center expansion.,https://www.sec.gov/Archives/edgar/data/1020569/000102056926000013/irm-20251231.htm;https://investors.ironmountain.com
AMT,American Tower,NYSE,United States,Diversified real estate / infrastructure with data-center exposure,Communications infrastructure REIT,Medium,45,Tower REIT with data-center exposure through CoreSite.,"AMT's top company-wide customers are wireless carriers, not data-center AI tenants. CoreSite customer names should not be assumed unless CoreSite/AMT publicly names them.",AI exposure is through data-center segment and network-edge demand.,Mostly tower business; interest-rate sensitivity; data centers are not pure-play exposure.,https://www.sec.gov/Archives/edgar/data/1053507/000105350726000035/amt-20251231.htm;https://www.coresite.com
NXT.AX,NEXTDC,ASX,Australia,Pure-play data center REIT/operator,Data center operator,Medium,90,Australian data-center operator focused on enterprise and hyperscale demand.,NEXTDC says AI deployments are growing and reports a first hyperscale customer contracted for KL1. It does not name that customer in the extracted presentation.,Strong exposure to cloud and AI infrastructure demand in Australia and Asia-Pacific.,High growth capex; valuation risk; development execution risk.,https://www.nextdc.com/hubfs/ASX%20Announcements/Annual%20Report%20FY25.pdf;https://www.nextdc.com/hubfs/ASX%20Announcements/FY25%20Full%20Year%20Results%20Presentation.pdf;https://www.nextdc.com/hubfs/ASX%20Announcements/1H26%20Results%20Presentation.pdf
AJBU.SI,Keppel DC REIT,SGX,Singapore,Pure-play data center REIT/operator,Data center REIT,Medium,90,Singapore-listed REIT focused on income-producing data-center assets.,The annual report says client names cannot be matched because many lease and colocation arrangements are confidential. Do not state named customers unless another official source names them.,AI demand can support data-center rental demand but exposure is indirect through tenants.,Tenant concentration; FX; refinancing and interest-rate risk.,https://www.keppeldcreit.com/en/file/investor-relations/publications/annual-report/kdcr-ar2025.pdf;https://www.keppeldcreit.com/en/
DCRU.SI,Digital Core REIT,SGX,Singapore,Pure-play data center REIT/operator,Data center REIT,Medium,88,US-focused Singapore-listed data-center REIT.,"The Osaka asset is described as 100% leased to investment-grade customers, mainly leading global cloud providers. The report does not name those customers.",AI and cloud demand can support portfolio leasing but customer exposure must be checked.,Tenant concentration; refinancing; sponsor and lease-renewal risk.,https://s28.q4cdn.com/669718746/files/doc_downloads/2026/03/Digital-Core-REIT-Annual-Report-2025.pdf;https://www.digitalcorereit.com/
NTDU.SI,NetLink NBN Trust,SGX,Singapore,Diversified real estate / infrastructure with data-center exposure,Fiber network infrastructure trust,Low,25,Singapore fiber broadband infrastructure; digital infrastructure but not a data-center owner.,Not applicable for a data-center tenant story.,Indirect AI/cloud exposure through connectivity infrastructure rather than data-center real estate.,Low data-center purity; regulated returns; limited AI-specific upside.,https://www.netlinknbn.com/investor-relations.html;https://www.netlinknbn.com/annual-reports.html
GDS,GDS Holdings,Nasdaq,China,Pure-play data center REIT/operator,China data center operator,High,85,China-focused data-center operator serving cloud and enterprise demand.,"The filing anonymizes large customers as Customer A, Customer B, and similar labels. Do not name customers unless another official source does.",AI and cloud demand can support utilization but China market dynamics are distinct.,China regulatory risk; leverage; geopolitical risk; customer concentration.,https://www.sec.gov/Archives/edgar/data/1526125/000110465926051006/gds-20251231x20f.htm;https://investors.gds-services.com/
VNET,VNET Group,Nasdaq,China,Pure-play data center REIT/operator,China data center and network services operator,High,80,China data-center and carrier-neutral internet infrastructure platform.,The annual filing does not provide a simple named AI customer list for this dashboard. Treat customers as not fully disclosed.,Potential AI/cloud demand exposure in China infrastructure market.,China regulatory risk; leverage; competition; governance perception risk.,https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm;https://ir.vnet.com/
ME8U.SI,Mapletree Industrial Trust,SGX,Singapore,Diversified real estate / infrastructure with data-center exposure,Industrial REIT with data-center assets,Medium,55,Singapore REIT with industrial properties and meaningful data-center exposure.,The report discusses tenant and leasing activity but does not give a simple named hyperscaler table for this dashboard.,AI exposure through data-center assets but portfolio is diversified across industrial property.,Not pure-play; rate sensitivity; tenant and geography concentration should be monitored.,https://investor.mapletreeindustrialtrust.com/misc/ar2025-26/index.html
GMG.AX,Goodman Group,ASX,Australia,Diversified real estate / infrastructure with data-center exposure,Industrial property developer/manager,Medium,55,Global logistics and industrial property group with growing data-center development exposure.,Customer categories are public; individual data-center customers are not listed in a clean public table in the checked sources.,AI demand may support power-enabled industrial and data-center development pipeline.,Not a pure data-center company; development timing and valuation risk.,https://www.goodman.com/investor-centre/annual-reports;https://www.goodman.com/our-properties/data-centres;https://www.goodman.com/-/media/project/goodman/global/files/investor-centre/gmg-goodman-group/announcements/asx-announcements/2025/2-goodman-2025-annual-report.pdf?rev=2b1b30b1aa85467f9cbc79a9b24f018c
AZRG.TA,Azrieli Group,TASE,Israel,Diversified real estate / infrastructure with data-center exposure,Diversified real estate group with data-center exposure,Medium,45,Israeli real estate group with data-center exposure through dedicated activities and holdings.,The 2025 annual report names TikTok Norway AS as the customer for a Green Mountain Norway DC services agreement.,AI/cloud exposure is tied to data-center investments but group remains diversified.,Geography risk; not pure-play; real-estate cycle and rates matter.,https://azrieligroup.com/wp-content/uploads/2026/03/2025-Report.pdf;https://azrieligroup.com/wp-content/uploads/2026/03/Azrieli_Q4-2025_presentation_Eng_Final_19032026_1.pdf;https://greenmountain.no
BN4.SI,Keppel Ltd.,SGX,Singapore,Diversified real estate / infrastructure with data-center exposure,Diversified infrastructure and asset manager,Medium,40,Diversified Singapore infrastructure group with data-center development and asset-management exposure.,No simple named customer table is provided for Keppel Ltd shareholders in the annual report. Do not assume tenant names.,AI exposure through data-center development and infrastructure platforms.,Indirect exposure; conglomerate complexity; project execution risk.,https://www.keppel.com/file/investor-relations/annual-reports/ar2025/keppel-ltd-annual-report-2025.pdf;https://www.keppel.com/annualreport2025/
MAQ.AX,Macquarie Technology Group,ASX,Australia,Diversified real estate / infrastructure with data-center exposure,"Data centers, cloud and telecom services",Medium,70,Australian technology infrastructure company with data centers and cloud services.,"The presentation names customer groups, including hyperscalers, enterprise, government, SaaS companies, and carriers. It does not name the hyperscalers in the extracted text.",AI/cloud demand supports data-center and sovereign cloud infrastructure needs.,Smaller company; capex; customer concentration and execution risk.,https://www.macquarietechnologygroup.com/wp-content/uploads/2025/10/2025-MAQ-Annual-Report.pdf;https://www.macquarietechnologygroup.com/wp-content/uploads/2025/08/FY25-Group-Investor-Presentation.pdf;https://www.macquarietechnologygroup.com/wp-content/uploads/2025/11/Nov-25-Investor-Day-Presentation.pdf
APLD,Applied Digital,Nasdaq,United States,Volatile AI/HPC infrastructure / power-secured data-center play,AI/HPC data-center developer/operator,Very high,75,Speculative AI/HPC infrastructure developer with power-secured campus narrative.,"The filing supports signed HPC leasing, but it does not name the two HPC lease customers in the extracted text.",High AI/HPC upside if campuses lease successfully to creditworthy customers.,Very high volatility; financing; execution; dilution; contract and construction risk.,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000021/apld-20250531.htm;https://ir.applieddigital.com/
IREN,IREN,Nasdaq,Australia,Volatile AI/HPC infrastructure / power-secured data-center play,Bitcoin mining and AI/HPC infrastructure,Very high,70,Power-secured bitcoin mining operator expanding AI/HPC infrastructure strategy.,"The FY2025 annual report does not name Microsoft. The later IREN company release names Microsoft. Treat Microsoft as confirmed by the company release, not by the annual report.",Potential AI/HPC upside from power capacity and data-center sites.,Crypto exposure; commodity-like revenue; financing; extreme volatility.,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000063/iren-20250630.htm;https://www.globenewswire.com/news-release/2025/11/03/3178993/0/en/IREN-Secures-9-7bn-AI-Cloud-Contract-with-Microsoft.html
WULF,TeraWulf,Nasdaq,United States,Volatile AI/HPC infrastructure / power-secured data-center play,Bitcoin mining and AI/HPC infrastructure,Very high,70,Low-carbon power-focused bitcoin miner pursuing HPC/data-center opportunities.,The filing references credit-enhanced counterparties but the extracted text should not be used to claim a specific named end customer. Do not rely on XBRL labels alone for customer names.,AI upside depends on converting power sites into contracted HPC capacity.,Crypto-heavy; financing; execution; power and counterparty risk.,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000031/wulf-20251231.htm;https://investors.terawulf.com/
CORZ,Core Scientific,Nasdaq,United States,Volatile AI/HPC infrastructure / power-secured data-center play,Digital infrastructure and bitcoin mining,Very high,65,Large digital infrastructure operator with bitcoin mining and HPC transition potential.,CoreWeave is a named public customer in the 10-K.,AI/HPC upside tied to power-secured sites and long-term hosting contracts.,Post-restructuring history; crypto exposure; contract execution; high volatility.,https://www.sec.gov/Archives/edgar/data/1839341/000162828026013305/core-20251231.htm;https://investors.corescientific.com/
HUT,Hut 8,Nasdaq,United States,Volatile AI/HPC infrastructure / power-secured data-center play,Bitcoin mining and digital infrastructure,Very high,55,Crypto miner and digital infrastructure operator with HPC ambitions.,No named AI data-center tenant is confirmed in the extracted 10-K text for this dashboard row.,AI/HPC upside possible but still materially tied to crypto mining economics.,Crypto-heavy; merger/integration risk; financing; very high volatility.,https://www.sec.gov/Archives/edgar/data/1964789/000110465926019392/hut-20251231x10k.htm;https://hut8.com/investors/
BTDR,Bitdeer Technologies,Nasdaq,Singapore,Volatile AI/HPC infrastructure / power-secured data-center play,Bitcoin mining and data-center infrastructure,Very high,55,Bitcoin mining and infrastructure platform with sites that may support HPC demand.,The annual filing does not give a clean named AI tenant list in the extracted text. Do not claim a named customer without a company release.,AI/HPC upside is possible but business remains crypto-infrastructure heavy.,Crypto cycle; hardware/capex; geography; very high volatility.,https://www.sec.gov/Archives/edgar/data/1899123/000121390026049770/ea0282628-20f_bitdeer.htm;https://ir.bitdeer.com/
DBRG,DigitalBridge Group,NYSE,United States,Asset manager / indirect exposure,Digital infrastructure asset manager,High,65,Asset manager focused on digital infrastructure including data centers.,No simple DBRG-level data-center customer list applies.,AI demand can support portfolio data-center assets but exposure is indirect and fee-based.,Asset-manager complexity; fund performance; leverage and rate sensitivity.,https://www.sec.gov/Archives/edgar/data/1679688/000167968826000021/dbrg-20251231.htm;https://www.digitalbridge.com/
BX,Blackstone,NYSE,United States,Asset manager / indirect exposure,Diversified alternative asset manager,Low,25,Diversified asset manager with data-center exposure through real estate and infrastructure platforms.,No ticker-level data-center tenant list applies.,AI demand may benefit selected portfolio investments but company exposure is indirect.,Very diversified; data-center signal diluted by broad asset base.,https://www.sec.gov/Archives/edgar/data/1393818/000119312526082531/d48618d10k.htm;https://www.blackstone.com/
BAM,Brookfield Asset Management,NYSE,Canada,Asset manager / indirect exposure,Alternative asset manager,Low,30,Diversified asset manager with infrastructure and real-assets exposure including digital infrastructure opportunities.,No BAM-level data-center tenant list applies.,AI/cloud demand may benefit infrastructure funds but exposure is indirect.,Fee-related exposure; data-center impact diluted by broad platform.,https://www.sec.gov/Archives/edgar/data/1937926/000162828026013098/bam-20251231.htm;https://bam.brookfield.com/
BN,Brookfield Corporation,NYSE,Canada,Asset manager / indirect exposure,Diversified holding company and asset manager,Medium,25,Diversified Brookfield parent with indirect infrastructure and real-asset exposure.,No BN-level data-center tenant list applies.,AI/cloud demand may benefit some investments but exposure is indirect.,Complex holding-company structure; broad diversification dilutes data-center signal.,https://www.sec.gov/Archives/edgar/data/1001085/000100108526000006/bn-20251231.htm;https://bn.brookfield.com/
KKR,KKR & Co.,NYSE,United States,Asset manager / indirect exposure,Diversified alternative asset manager,Low,20,Diversified asset manager with infrastructure and real-estate strategies that can include digital infrastructure.,No KKR-level data-center tenant list applies.,AI demand can support selected infrastructure investments but exposure is indirect.,Very diversified; limited pure data-center look-through from public ticker.,https://www.sec.gov/Archives/edgar/data/1404912/000140491226000007/kkr-20251231.htm;https://www.kkr.com/
